Variables:	wave	elem	cs	note	iso	priority	source
Type:	Float	String	String	String	String	Integer	String
Data:	201.51	Mo	II		?	0	?
Data:	202.03	Mo	II		?	0	?
Data:	203.84	Mo	II		?	0	?
Data:	204.56	Mo	II		?	0	?
Data:	206.64	B	I		?	0	?
Data:	206.67	B	I		?	0	?
Data:	206.69	B	I		?	0	?
Data:	206.72	B	I		?	0	?
Data:	227.09	C	V		?	0	?
Data:	227.73	C	V		?	0	?
Data:	227.79	C	V		?	0	?
Data:	229.7	C	III		?	0	?
Data:	223.41	B	III		?	0	?
Data:	247	Mo	II		?	0	?
Data:	247.2	Mo	I		?	0	?
Data:	247.76	Mo	II		?	0	?
Data:	248.18	Mo	I		?	0	?
Data:	248.48	Mo	II		?	0	?
Data:	248.53	Mo	I		?	0	?
Data:	249.35	O	IV		?	0	?
Data:	249.38	O	IV		?	0	?
Data:	249.62	Mo	II		?	0	?
Data:	249.68	B	I		?	0	?
Data:	249.77	B	I		?	0	?
Data:	249.83	Mo	II		?	0	?
Data:	250.04	Mo	II		?	0	?
Data:	250.28	Mo	II		?	0	?
Data:	250.62	Mo	III		?	0	?
Data:	250.77	O	IV		?	0	?
Data:	250.92	O	IV		?	0	?
Data:	251.18	Mo	II		?	0	?
Data:	251.51	Mo	II		?	0	?
Data:	251.74	O	IV		?	0	?
Data:	251.8	O	II		?	0	?
Data:	252.26	N	VII	6-7 CX	?	0	?
Data:	252.32	O	II		?	0	?
Data:	252.47	B	IV		?	0	?
Data:	252.69	O	II		?	0	?
Data:	252.71	Mo	II		?	0	?
Data:	253.04	O	VIII	8-10 CX	?	0	?
Data:	253.65	Hg	I	lamp	?	0	?
Data:	266.32	Pb	source		?	0	?
Data:	273.33	He	II		?	0	?
Data:	275.57	F	IX	9-11 CX	?	0	?
Data:	277.54	Mo	II		?	0	?
Data:	278.1	O	V		?	0	?
Data:	278.7	O	V		?	0	?
Data:	278.99	O	V		?	0	?
Data:	280.2	Pb	source		?	0	?
Data:	281.62	Mo	II		?	0	?
Data:	282.17	B	IV		?	0	?
Data:	282.32	Pb	source		?	0	?
Data:	282.46	B	IV		?	0	?
Data:	282.59	B	IV		?	0	?
Data:	283.31	Pb	source		?	0	?
Data:	283.67	C	II		?	0	?
Data:	283.76	C	II		?	0	?
Data:	284.82	Mo	II		?	0	?
Data:	287.15	Mo	II		?	0	?
Data:	287.33	Pb	source		?	0	?
Data:	289.1	Mo	II		?	0	?
Data:	291.19	Mo	II		?	0	?
Data:	292.34	Mo	II		?	0	?
Data:	293.05	Mo	II		?	0	?
Data:	294.13	O	V		?	0	?
Data:	294.17	O	V		?	0	?
Data:	297.58	O	VIII	7-8 CX	?	0	?
Data:	298.19	B	V	6-7 CX	?	0	?
Data:	299.85	B	V	6-8 CX	?	0	?
Data:	312.57	Hg	I	lamp	?	0	?
Data:	313.15	Hg	I	lamp	?	0	?
Data:	313.18	Hg	I	lamp	?	0	?
Data:	313.87	C	VI	7-9 CX	?	0	?
Data:	324.75	Cu	I		?	0	?
Data:	327.4	Cu	I		?	0	?
Data:	330.52	N	VII	8-10 CX	?	0	?
Data:	341.48	Ni	I		?	0	?
Data:	343.37	C	VI	6-7 CX	?	0	?
Data:	345.13	B	II		?	0	?
Data:	345.85	Ni	I		?	0	?
Data:	346.17	Ni	I		?	0	?
Data:	351.51	Ni	I		?	0	?
Data:	352.45	Ni	I		?	0	?
Data:	356.64	Ni	I		?	0	?
Data:	357.87	Cr	I		?	0	?
Data:	358.12	Fe	I		?	0	?
Data:	359.35	Cr	I		?	0	?
Data:	360.53	Cr	I		?	0	?
Data:	361.94	Ni	I		?	0	?
Data:	364.49	D	cont n=inf->2		?	0	?
Data:	365.02	Hg	I	lamp	?	0	?
Data:	368.08	F	IX	10-12 CX	?	0	?
Data:	371.99	Fe	I		?	0	?
Data:	372.71	Ne	II		?	0	?
Data:	372.98	Ti	I		?	0	?
Data:	373.49	Fe	I		?	0	?
Data:	374.11	Ti	I		?	0	?
Data:	374.56	Fe	I		?	0	?
Data:	374.95	O	II		?	0	?
Data:	375.29	Ti	I		?	0	?
Data:	375.4	O	III		?	0	?
Data:	375.9	O	III		?	0	?
Data:	375.92	Ti	II		?	0	?
Data:	376.13	Ti	II		?	0	?
Data:	376.63	Ne	II		?	0	?
Data:	377.71	Ne	II		?	0	?
Data:	379.69	D	10->2	n=10->2	?	0	?
Data:	379.8	Mo	I		?	0	?
Data:	383.43	D	9->2	n=9->2	?	0	?
Data:	384.71	F	II		?	0	?
Data:	385	F	II		?	0	?
Data:	385.17	F	II		?	0	?
Data:	385.99	Fe	I		?	0	?
Data:	386.4	Mo	I		?	0	?
Data:	386.8	W	I		?	0	?
Data:	388.68	N	VII	7-8 CX	?	0	?
Data:	388.8	He	I	pretty strong	?	0	?
Data:	388.88	D	n=8->2		?	0	?
Data:	390.06	Ti	II		?	0	?
Data:	390.2	Mo	I		?	0	?
Data:	390.48	Ti	I		?	0	?
Data:	391.2	O	II		?	0	?
Data:	391.8	C	II		?	0	?
Data:	392	C	II		?	0	?
Data:	392.1	Ne	III	(trip)	?	0	?
Data:	393.36	Ca	II		?	0	?
Data:	393.43	C	IV		?	0	?
Data:	394.73	O	II		?	0	?
Data:	394.75	O	II		?	0	?
Data:	394.76	O	II		?	0	?
Data:	394.87	Ti	I		?	0	?
Data:	394.9	Ar	I		?	0	?
Data:	395.46	O	II		?	0	?
Data:	395.63	Ti	I		?	0	?
Data:	395.82	Ti	I		?	0	?
Data:	396.84	Ca	II		?	0	?
Data:	396.9	D	n=7->2		?	0	?
Data:	397.33	O	II		?	0	?
Data:	398.18	Ti	I		?	0	?
Data:	398.98	Ti	I		?	0	?
Data:	399.5	N	II		?	0	?
Data:	399.86	Ti	I		?	0	?
Data:	400.88	W	I		?	0	?
Data:	401.39	Ar	II		?	0	?
Data:	402.47	F	II		?	0	?
Data:	402.5	F	II		?	0	?
Data:	402.55	F	II		?	0	?
Data:	402.62	He	I		?	0	?
Data:	403.25	Fe	I		?	0	?
Data:	403.26	Fe	I		?	0	?
Data:	404.35	Cu	II		?	0	?
Data:	404.66	Hg	I	lamp	?	0	?
Data:	406.79	C	III		?	0	?
Data:	406.89	C	III		?	0	?
Data:	406.21	Mo	I		?	0	?
Data:	406.99	Mo	I		?	0	?
Data:	407.02	C	III		?	0	?
Data:	407.17	Fe	I		?	0	?
Data:	407.2	Ar	II		?	0	?
Data:	407.22	O	II		?	0	?
Data:	407.44	W	I		?	0	?
Data:	407.59	O	II		?	0	?
Data:	408.14	Mo	I		?	0	?
Data:	408.24	Ar	II		?	0	?
Data:	408.44	Mo	I		?	0	?
Data:	409.6	Fe	I		?	0	?
Data:	409.65	O	II		?	0	?
Data:	409.82	Fe	I		?	0	?
Data:	410.06	D	delta n=6->2		?	0	?
Data:	410.31	F	II		?	0	?
Data:	410.32	F	II		?	0	?
Data:	410.35	F	II		?	0	?
Data:	410.88	O	II		?	0	?
Data:	411.92	O	II		?	0	?
Data:	412.19	B	II		?	0	?
Data:	413.09	Si	II		?	0	?
Data:	413.25	Cl	II		?	0	?
Data:	414.36	Mo	I		?	0	?
Data:	414.39	Fe	I		?	0	?
Data:	414.77	Fe	I		?	0	?
Data:	415.61	Ar	II		?	0	?
Data:	415.68	Fe	I		?	0	?
Data:	417.12	W	I		?	0	?
Data:	417.39	Fe	I		?	0	?
Data:	418.18	Fe	I		?	0	?
Data:	418.3	Fe	I		?	0	?
Data:	418.36	Ar	II		?	0	?
Data:	418.7	Fe	I		?	0	?
Data:	418.78	Fe	I		?	0	?
Data:	418.55	O	II		?	0	?
Data:	418.83	Mo	I		?	0	?
Data:	418.98	O	II		?	0	?
Data:	419.46	Mo	I		?	0	?
Data:	419.48	B	II		?	0	?
Data:	420.2	Fe	I		?	0	?
Data:	421.74	Ar	II		?	0	?
Data:	422.67	Ca	I		?	0	?
Data:	422.82	Ar	II		?	0	?
Data:	423.26	Mo	I		?	0	?
Data:	423.33	O	II		?	0	?
Data:	424.3	B	III		?	0	?
Data:	424.36	B	III	CX	?	0	?
Data:	424.37	B	III		?	0	?
Data:	424.61	Fe	I		?	0	?
Data:	424.73	Fe	I		?	0	?
Data:	425.44	Cr	I		?	0	?
Data:	426.7	C	II		?	0	?
Data:	426.73	C	II		?	0	?
Data:	427.48	Cr	I		?	0	?
Data:	427.75	Ar	II		?	0	?
Data:	428.29	Ar	II		?	0	?
Data:	428.97	Cr	I		?	0	?
Data:	429.46	W	I		?	0	?
Data:	429.8	Ar	II		?	0	?
Data:	429.92	Fe	I		?	0	?
Data:	430.06	Ti	I		?	0	?
Data:	430.11	Ti	I		?	0	?
Data:	430.59	Ti	I		?	0	?
Data:	431.71	O	II		?	0	?
Data:	431.96	O	II		?	0	?
Data:	432.6	BD	band?		?	0	?
Data:	433.12	Ar	II		?	0	?
Data:	433.92	D	gamma n=5->2		?	0	?
Data:	434.05	O	VIII	8-9 CX	?	0	?
Data:	434.81	Ar	II		?	0	?
Data:	434.94	O	II		?	0	?
Data:	435.5	Kr	II		?	0	?
Data:	435.84	Hg	I	lamp	?	0	?
Data:	436.83	O	II		?	0	?
Data:	437.13	Ar	II		?	0	?
Data:	437.9	N	III		?	0	?
Data:	437.97	Ar	II		?	0	?
